Title, Players Estimate ,Steam App ID
Morphine," 27,957 ",410430
J.U.L.I.A.: Among the Stars," 27,939 ",257690
Game Tycoon 2," 27,929 ",404640
Crystal City," 27,919 ",473740
Flat Heroes," 27,902 ",508790
Three Dead Zed," 27,880 ",291390
Perpetuum," 27,840 ",223410
Heart's Medicine - Time to Heal," 27,826 ",494230
Go Home Dinosaurs!," 27,792 ",216090
Defunct," 27,778 ",359350
NEKO-NIN exHeart," 27,742 ",407310
Koala Kids," 27,725 ",381870
Flockers," 27,700 ",260330
Habitat," 27,685 ",299340
DARIUSBURST Chronicle Saviours," 27,685 ",377870
Pixel Puzzles 2: RADical ROACH," 27,652 ",504880
MouseCraft," 27,622 ",252750
Lux Delux," 27,616 ",341950
USA 2020," 27,608 ",859700
Darkness Within 1: In Pursuit of Loath Nolder," 27,592 ",298930
Adventure Time: Finn and Jake's Epic Quest," 27,585 ",258590
Hard Place," 27,555 ",763520
Stormbound," 27,544 ",790600
Tangledeep," 27,467 ",628770
A SECOND BEFORE US," 27,424 ",625370
Conarium," 27,395 ",313780
Blue Rose," 27,355 ",362660
Fairy Tale Mysteries 2: The Beanstalk," 27,325 ",403510
Paranormal State: Poison Spring," 27,319 ",268810
Domestic Dog," 27,311 ",340340
Onikira - Demon Killer," 27,283 ",310850
Dungeon Escape," 27,255 ",454100
BIT.TRIP VOID," 27,186 ",205070
LOR - League of Runners," 27,185 ",587390
Reach for the Sun," 27,168 ",248290
Incognito," 27,165 ",348530
SquareCells," 27,127 ",416770
Table Top Racing: World Tour," 27,120 ",450670
ç‚_é»„æˆ˜çºªä_‹ä¸‰å›_çƒ_çƒŸ," 27,118 ",590910
Tyto Ecology," 27,106 ",453750
Croixleur Sigma," 27,093 ",250640
The Town of Light," 26,994 ",433100
A Date in the Park," 26,991 ",468530
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2," 26,981 ",543870
Stranger of Sword City / å‰£ãÅ®è¡—ãÅ®ç•°é‚_äºº ï__é»’ãÅ®å®®æ®¿ï__," 26,902 ",409890
Dinosaur Forest," 26,894 ",506730
Super Cyborg," 26,893 ",341550
Stardust Vanguards," 26,883 ",341530
Rytmik Ultimate," 26,825 ",375840
SÃ©bastien Loeb Rally EVO," 26,820 ",355060
Max Stern," 26,807 ",531240
LUXIS," 26,799 ",513820
MXGP2 - The Official Motocross Videogame," 26,799 ",400800
Hatoful Boyfriend: Holiday Star," 26,704 ",377080
SORE," 26,701 ",690060
Zigfrak," 26,688 ",259430
Strategic War in Europe," 26,680 ",283000
Stick it to The Man!," 26,673 ",251830
PoÃ¶f," 26,669 ",243280
DungeonUp," 26,669 ",388620
The Construct," 26,637 ",525190
SINISTRY SILINIUM," 26,619 ",603040
Roommates," 26,569 ",317300
MacGuffin's Curse," 26,568 ",58230
Fine Sweeper," 26,547 ",367000
CHUCHEL," 26,542 ",711660
Flat Path," 26,529 ",512740
Cubot," 26,528 ",340280
The Temporal Invasion," 26,515 ",454220
Quadrilateral Cowboy," 26,507 ",240440
Squirreltopia," 26,497 ",334690
Boogeyman," 26,400 ",412770
Hot Tin Roof: The Cat That Wore A Fedora," 26,399 ",253390
Antihero," 26,392 ",505640
Wanderlust Adventures," 26,372 ",240620
Belladonna," 26,335 ",351340
Immersion Chess," 26,322 ",631660
Collisions," 26,315 ",390910
Hitogata Happa," 26,273 ",92210
Psycho on the loose," 26,230 ",568860
Root Double -Before Crime * After Days- Xtend Edition," 26,201 ",438130
Jones On Fire," 26,195 ",270810
Covert Syndrome," 26,167 ",589460
Unrest," 26,143 ",292400
Stay Close," 26,135 ",455120
The Talos Principle VR," 26,129 ",552440
Crazy Plant Shop," 26,126 ",292200
Hybrid Animals," 26,115 ",448240
SWARMRIDERS," 26,082 ",490230
REDCON," 26,076 ",449710
Lexica," 26,073 ",306680
Zavix Tower," 26,069 ",427910
Metrocide," 26,044 ",313130
Live Wallpaper Master," 26,040 ",597840
Hearthlands," 26,034 ",336300
Marble Duel," 26,025 ",338120
Acceleration of SUGURI X-Edition HD," 25,999 ",265170
Last Days of Spring Visual Novel," 25,982 ",407680
Vector Thrust," 25,982 ",242130
Interstellaria," 25,971 ",280360
Super Galaxy Squadron EX Turbo," 25,940 ",345860
Major Mayhem," 25,909 ",264340
OH! RPG!," 25,907 ",421810
Kingdoms CCG," 25,903 ",330000
Our Darker Purpose," 25,868 ",262790
Paranormal Activity: The Lost Soul," 25,853 ",467660
Astral Heroes," 25,840 ",488910
Tasty Planet: Back for Seconds," 25,837 ",445110
The Few," 25,831 ",300320
Zombie Party," 25,829 ",384500
Ms. Splosion Man," 25,827 ",105420
HERO DEFENSE," 25,817 ",423620
Idle Bouncer," 25,787 ",697610
Quantum Rush Champions," 25,783 ",317440
Escape Goat 2," 25,763 ",255340
Albedo: Eyes from Outer Space," 25,687 ",277520
Pillar," 25,675 ",371900
Ridge," 25,672 ",492600
STAR-BOX: RPG Adventures in Space," 25,664 ",363510
Walkover," 25,656 ",348700
Cursed," 25,654 ",431260
Mobile Astro," 25,646 ",565110
Psebay," 25,642 ",608660
Doodle God: 8-bit Mania - Collector's Item," 25,642 ",538060
World to the West," 25,624 ",530020
Hive," 25,610 ",251210
Dungeonmans," 25,599 ",288120
A Long Road Home," 25,595 ",576160
MX vs. ATV Supercross Encore," 25,583 ",282050
Shooting Stars!," 25,583 ",415350
Metal Dead," 25,535 ",302690
Frozen State," 25,521 ",270270
NEO-NOW!," 25,499 ",503420
Imagine Earth," 25,465 ",280720
JYDGE," 25,451 ",654050
Chicken Invaders 5," 25,441 ",353090
Fresh Body," 25,427 ",550840
Neon Arena," 25,419 ",556010
The Lost Crown," 25,408 ",291710
Strategy & Tactics: Wargame Collection," 25,402 ",338130
Neighboring Islands," 25,384 ",588710
Empire of the Gods," 25,362 ",436140
Children of the Nile: Alexandria," 25,293 ",17120
LostWinds," 25,250 ",447780
Space Ripper," 25,229 ",591010
FlatOut 4: Total Insanity," 25,191 ",402130
Regions Of Ruin," 25,181 ",680360
Super Rude Bear Resurrection," 25,179 ",384250
The Signal From TÃ¶lva," 25,175 ",457760
Deathsmiles," 25,164 ",314180
64," 25,163 ",578850
Dark Heritage: Guardians of Hope," 25,140 ",394280
Runers," 25,130 ",306550
Trillion: God of Destruction," 25,108 ",451780
WARTILE," 25,063 ",404200
Grapple," 25,053 ",268320
TIMEframe," 25,027 ",340270
BUTCHER," 25,010 ",474210
Heroes Rise: The Prodigy," 25,000 ",299540
Otherland MMO," 24,995 ",376310
"Guns, Gore and Cannoli 2"," 24,984 ",525510
500 Years Act 1," 24,960 ",357200
Warriors' Wrath," 24,957 ",466420
Romopolis," 24,956 ",471170
KNIGHTS," 24,941 ",476240
Xeodrifter," 24,939 ",319140
Affected Zone Tactics," 24,927 ",386640
Warlocks vs Shadows," 24,926 ",330270
Rez Infinite," 24,921 ",636450
Void Invaders," 24,917 ",391170
Conception II: Children of the Seven Stars," 24,861 ",458730
Acceleration of SUGURI 2," 24,827 ",390710
FATE: The Cursed King," 24,824 ",303690
GET THE GEMS," 24,818 ",500940
Catch Me," 24,811 ",421030
Dusty Revenge:Co-Op Edition," 24,801 ",252430
200% Mixed Juice!," 24,780 ",335190
12 Labours of Hercules V: Kids of Hellas (Platinum Edition)," 24,715 ",491330
The LEGO NINJAGO Movie Video Game," 24,671 ",640590
Phoning Home," 24,670 ",431650
Phantom Brave PC / ãƒ•ã‚¡ãƒ_ãƒˆãƒ ãƒ»ãƒ–ãƒ¬ã‚_ãƒ– PC," 24,630 ",409870
SEASON OF MYSTERY: The Cherry Blossom Murders," 24,628 ",39110
Superdimension Neptune VS Sega Hard Girls | è¶…æ¬¡å…ƒå_§æˆ_ãƒçãƒ—ãƒ†ãƒ¥ãƒ_ãƒŒVSã‚»ã‚¬ãƒèãƒ_ãƒ‰ã‚¬ãƒ_ãƒ«ã‚ºå_¢ãÅ®åêˆä_“ã‚_ãƒ_ã‚·ãƒ£ãƒ«  | è¶…æ¬¡å…ƒå_§æˆ°æˆ°æ©Ÿå°‘å¥_VS SEGAä¸»æ©Ÿå¨˜å_¢å_»åêˆé«”ç‰_åˆ¥ç‰ˆ," 24,628 ",571530
Death Goat," 24,606 ",340770
Wild Animal Racing," 24,581 ",389510
HoPiKo," 24,578 ",437390
Pizza Connection 3," 24,569 ",588160
Panty Party," 24,566 ",562410
NyxQuest: Kindred Spirits," 24,562 ",57000
Dyad," 24,535 ",223450
Rise & Shine," 24,511 ",347290
New Star Soccer 5," 24,499 ",212780
GET EVEN," 24,477 ",299950
The Last Weekend," 24,464 ",509800
Shiny The Firefly," 24,454 ",277510
Toby: The Secret Mine," 24,453 ",395160
Hustle Cat," 24,411 ",453340
A Normal Lost Phone," 24,350 ",523210
Way of the Samurai 3," 24,344 ",427510
Gatling Gears," 24,340 ",102810
Monochroma," 24,339 ",265830
IS Defense," 24,334 ",448370
Man O' War: Corsair - Warhammer Naval Battles," 24,324 ",344240
Inexistence," 24,304 ",444720
SQUAKE," 24,288 ",526920
Seek Or Die," 24,261 ",803030
Cloudberry Kingdom," 24,244 ",210870
Sideway New York," 24,241 ",200190
Contradiction - Spot The Liar!," 24,239 ",373390
Defenders of Ardania," 24,228 ",73060
Corpse Party," 24,226 ",251270
The Sad Story of Emmeline Burns," 24,192 ",429940
çº¢çŸ_éÅ—è¿_ - Red Obsidian Remnant," 24,175 ",610960
Ascendant," 24,152 ",296930
Dash Fleet," 24,119 ",586160
Doom & Destiny," 24,068 ",318130
Bud Spencer & Terence Hill - Slaps And Beans," 24,052 ",564050
MotoGP14," 24,034 ",256390
Meltys Quest," 24,016 ",723090
Karma. Incarnation 1," 24,002 ",394700
Life of Pixel," 23,987 ",327260
Samurai Gunn," 23,969 ",239090
Toy Odyssey: The Lost and Found," 23,968 ",392410
Wordlase," 23,958 ",602930
Nanobots," 23,929 ",449120
Conflicks - Revolutionary Space Battles," 23,909 ",288260
Carnivores: Dinosaur Hunter Reborn," 23,901 ",293520
Verdict Guilty - ìœ ì£„ íè‰ê_°," 23,896 ",449210
Sonicomi," 23,894 ",444140
Goetia," 23,890 ",421740
Soulless: Ray Of Hope," 23,878 ",528300
Death Skid Marks," 23,872 ",326150
Zero Escape: The Nonary Games," 23,847 ",477740
Overlord: Fellowship of Evil," 23,835 ",306670
Vinyl," 23,830 ",369030
Gravity Cat," 23,827 ",491000
Trianguluv," 23,821 ",601930
Vecitas," 23,818 ",555830
0RBITALIS," 23,817 ",278440
Lightfish," 23,805 ",116120
Industry Empire," 23,801 ",291930
Republique," 23,784 ",317100
Dungelot: Shattered Lands," 23,784 ",403940
Balrum," 23,771 ",424250
Magic Technology," 23,758 ",614660
Lost in Paradise," 23,756 ",381170
Dead Hungry Diner," 23,741 ",211800
Fenix Rage," 23,697 ",294460
Luna's Wandering Stars," 23,683 ",330660
Pathfinder Adventures," 23,672 ",480640
N0-EXIT," 23,662 ",503430
Accel World VS. Sword Art Online Deluxe Edition," 23,646 ",607880
Concrete Jungle," 23,635 ",400160
Dark Void Zero," 23,630 ",45730
The Infinite Black," 23,613 ",489000
Redeemer," 23,579 ",447290
Demon Horde Master," 23,521 ",380790
Razor2: Hidden Skies," 23,507 ",34920
IN-VERT," 23,496 ",491010
Rest House," 23,427 ",582290
Unium," 23,419 ",357600
Tennis Elbow 2013," 23,400 ",346470
Putrefaction 2: Void Walker," 23,372 ",567060
Ash of Gods: Redemption," 23,369 ",691690
Alicemare," 23,364 ",524850
1979 Revolution: Black Friday," 23,358 ",388320
The Dreamatorium of Dr. Magnus 2," 23,356 ",393150
Warbands: Bushido," 23,348 ",556820
Bunny Must Die! Chelsea and the 7 Devils," 23,337 ",250660
Diaries of a Spaceport Janitor," 23,326 ",436500
Don Bradman Cricket 14," 23,321 ",216260
Last Knight: Rogue Rider Edition," 23,313 ",262210
Mad Dojo," 23,312 ",586170
Shift Happens," 23,270 ",359840
Kombine," 23,261 ",539750
Ultimate Booster Experience," 23,253 ",499620
Heavy Fire: Afghanistan," 23,222 ",305980
A Lenda do HerÃ_i - O HerÃ_i desta CanÃ§Ã£o," 23,221 ",389170
The Oil Blue: Steam Legacy Edition," 23,181 ",386700
Crash Force," 23,122 ",535690
Muffin Knight," 23,116 ",263700
Get CARNAGE!!!," 23,079 ",605220
Point Perfect," 23,065 ",303840
SolarGun," 23,019 ",553340
Runeyana," 23,005 ",463670
Lumber King," 22,978 ",681500
RESCUE 2: Everyday Heroes," 22,945 ",339210
FATE: The Traitor Soul," 22,937 ",303680
Angels of Fasaria: Version 2.0," 22,923 ",335900
First Strike: Final Hour," 22,912 ",587000
The Cat Games," 22,860 ",603260
Suicide Guy," 22,854 ",303610
CITYCONOMY: Service for your City," 22,816 ",304580
The Way," 22,816 ",311010
Run!ZombieFood!," 22,787 ",671800
Battle Fleet 2," 22,785 ",332490
True or False Universe," 22,775 ",698370
Nature Calls," 22,768 ",857940
Sound of Drop - fall into poison -," 22,763 ",383460
OMG Zombies!," 22,710 ",259870
Winexy," 22,702 ",577740
Juicy Realm," 22,701 ",732370
1849," 22,663 ",290970
Cubicity," 22,647 ",335550
Battlepillars Gold Edition," 22,641 ",280930
Angry Video Game Nerd II: ASSimilation," 22,630 ",409660
Wyrmsun," 22,616 ",370070
Spermination," 22,595 ",363460
Massive Cleavage vs Zombies: Awesome Edition," 22,591 ",399130
Wells," 22,585 ",528430
1000 Amps," 22,579 ",205690
Reverse Crawl," 22,576 ",400660
Tower of Time," 22,559 ",617480
BalanCity," 22,513 ",462680
RECYCLE," 22,503 ",294830
Fairy Tale Mysteries: The Puppet Thief," 22,491 ",429600
Legends of Aethereus," 22,483 ",248410
Morningstar: Descent to Deadrock," 22,482 ",339130
Mistwood Heroes," 22,443 ",573210
Giant Machines 2017," 22,438 ",402750
Goats on a Bridge," 22,435 ",335840
Nightork Adventures - Beyond the Moons of Shadalee," 22,431 ",493780
Kelvin and the Infamous Machine," 22,421 ",376520
Orwell: Ignorance is Strength," 22,373 ",633060
Airport Madness: World Edition," 22,320 ",369290
Quick Slick Deadly," 22,319 ",399270
Worlds of Magic," 22,318 ",265970
Nightside," 22,310 ",360390
StarCrawlers," 22,302 ",318970
XXX Puzzle," 22,284 ",874650
Joe Danger," 22,281 ",229890
SUGURI," 22,275 ",262240
Avernum 2: Crystal Souls," 22,270 ",337850
Ares Omega," 22,252 ",405440
Mythic Wonders: The Philosopher's Stone," 22,246 ",458480
Nevrosa: Prelude," 22,237 ",598070
Megapolis," 22,228 ",485080
Puzzler World 2," 22,225 ",200130
You Are Not A Banana: Better Edition," 22,219 ",340470
YAIBA: NINJA GAIDEN Z," 22,219 ",252230
Running Through Russia," 22,151 ",604490
My Lovely Daughter," 22,124 ",580170
Danmaku Unlimited 2," 22,121 ",280560
ConflictCraft," 22,116 ",495570
Shiftlings," 22,108 ",310810
The Emerald Maiden: Symphony of Dreams," 22,107 ",429610
The Samaritan Paradox," 22,104 ",283180
Disastr_Blastr," 22,101 ",431200
Remothered: Tormented Fathers," 22,088 ",633360
Investigator," 22,083 ",482300
FreeCell Quest," 22,072 ",364640
Marvel: Ultimate Alliance," 22,027 ",433300
Dead Secret," 22,012 ",402260
Remnants Of Isolation," 22,000 ",360010
Celestian Tales: Old North," 21,991 ",315860
Mount Your Friends 3D: A Hard Man is Good to Climb," 21,989 ",441010
The Last Door: Season 2 - Collector's Edition," 21,984 ",402530
Great Permutator," 21,980 ",319270
Crush Your Enemies," 21,939 ",406850
Wick," 21,925 ",418300
Nights of Azure," 21,899 ",527280
Queen's Quest: Tower of Darkness," 21,880 ",390200
Kings of Kung Fu," 21,849 ",316930
Has-Been Heroes," 21,841 ",492290
The Floor is Jelly," 21,796 ",295750
Swordbreaker The Game," 21,774 ",411760
Asura: Vengeance Expansion," 21,769 ",524640
Peak Angle: Drift Online," 21,760 ",547410
Tropical Liquor," 21,756 ",687920
Hyper Bounce Blast," 21,745 ",407940
Endless Horde," 21,739 ",618610
Walhall," 21,736 ",781800
Seraph," 21,724 ",425670
Babel Rising," 21,722 ",204840
Salvation Prophecy," 21,683 ",248450
Crime Secrets: Crimson Lily," 21,679 ",465170
Regeria Hope Episode 1," 21,650 ",447570
Micro Machines World Series," 21,629 ",535850
Bot Vice," 21,604 ",491040
Swarm Arena," 21,596 ",46600
Airport Simulator 2015," 21,582 ",319780
De-Void," 21,575 ",468570
Doodle Devil," 21,557 ",608760
Bitcoin Collector: Spinners Attack," 21,528 ",722020
3DRPG," 21,527 ",431840
Aurion: Legacy of the Kori-Odan," 21,510 ",368080
Machine Hunt," 21,498 ",546930
Beyond Space Remastered Edition," 21,493 ",297100
Rhythm Rush!," 21,488 ",614030
Sublevel Zero Redux," 21,470 ",327880
Star Traders: Frontiers," 21,435 ",335620
iO," 21,432 ",324070
Shut Eye," 21,422 ",533330
Zombie Vikings," 21,407 ",337480
The Golf Club 2," 21,405 ",554510
The Huntsman: Winter's Curse," 21,389 ",446990
Riddled Corpses," 21,388 ",369890
Shadow Blade: Reload," 21,381 ",272330
Freedom Fall," 21,370 ",262770
Shmadow," 21,358 ",397570
Townopolis," 21,330 ",462730
BiT Evolution," 21,325 ",342020
DoDonPachi Resurrection," 21,323 ",464450
Cave Digger," 21,308 ",844380
Light," 21,281 ",271730
ACE Academy," 21,258 ",396650
One Night Stand," 21,217 ",549860
Flower Design," 21,214 ",546070
Carpe Diem," 21,187 ",423880
Minit," 21,152 ",609490
3 Stars of Destiny," 21,151 ",278530
Zotrix - Solar Division," 21,144 ",351720
Formata," 21,064 ",580040
Magrunner: Dark Pulse," 21,062 ",209630
That's Mahjong!," 21,057 ",547310
MiniDrivers," 21,051 ",385490
Bunny Hop League," 21,045 ",429780
METAL SLUG 2," 21,016 ",366260
Zup! 8," 21,014 ",799070
Dwarf Tower," 21,006 ",335100
RePete," 20,964 ",448010
TASTEE: Lethal Tactics," 20,949 ",365190
Alien Shooter TD," 20,946 ",541230
March of War: FaceOff - XL," 20,945 ",418110
The Secret Order 3: Ancient Times," 20,939 ",437420
Mugen Souls," 20,939 ",389870
Green Game: TimeSwapper," 20,938 ",432990
Ironbound," 20,923 ",643980
Deep Fear," 20,919 ",601980
Scrap Garden," 20,913 ",465760
Who's That Flying?!," 20,891 ",57700
MechaNika," 20,887 ",384680
Echo of the Wilds," 20,870 ",305780
Mini Thief," 20,867 ",481870
Salty Fish Go!," 20,866 ",656090
Space Wars: Interstellar Empires," 20,864 ",574070
SENRAN KAGURA Bon AppÃ©tit! - Full Course," 20,860 ",514310
Air Conflicts: Vietnam," 20,857 ",233210
Legends of Callasia," 20,857 ",438920
Art Of Gravity," 20,849 ",642560
New Retro Arcade: Neon," 20,818 ",465780
Planar Conquest," 20,787 ",449300
Ninja Stealth 2," 20,784 ",585830
Anima Gate of Memories," 20,773 ",380750
Sisyphus Reborn," 20,739 ",517910
D&D Lords of Waterdeep," 20,735 ",644390
Civil War: Battle of Petersburg," 20,734 ",584800
Nevermind," 20,728 ",342260
Pirate Pop Plus," 20,721 ",487350
Ellipsis," 20,693 ",514620
Bombinator," 20,678 ",612610
Canabalt," 20,642 ",358960
The Charnel House Trilogy," 20,640 ",288930
Nitroplus Blasterz: Heroines Infinite Duel," 20,609 ",482450
MXGP3 - The Official Motocross Videogame," 20,607 ",561600
Attack on Titan 2 - A.O.T.2 - é€_æ’ƒãÅ®å·¨äººï_’," 20,607 ",601050
Leap of Fate," 20,602 ",363420
ikenie," 20,592 ",511120
Unearthed: Trail of Ibn Battuta - Episode 1 - Gold Edition," 20,590 ",263680
Spectromancer," 20,588 ",22500
Crookz - The Big Heist," 20,588 ",310490
Deus Ex: Breach," 20,556 ",555450
The Legend of Dark Witch," 20,548 ",420770
Through the Ages," 20,486 ",758370
Brawlout," 20,480 ",263720
Lepofrenia," 20,469 ",527460
iBomber Attack," 20,457 ",218660
Amigdala," 20,442 ",450110
Home is Where One Starts...," 20,436 ",355970
DubWars," 20,426 ",290000
Leadwerks Game Engine," 20,418 ",251810
Pinstripe," 20,399 ",331480
Deserving Life," 20,390 ",700170
Tulpa," 20,388 ",331340
NeuroVoider," 20,385 ",400450
Wake Up," 20,377 ",499540
There Came an Echo," 20,377 ",319740
Marvel: Ultimate Alliance 2," 20,337 ",433320
AWA," 20,335 ",489580
Rage Wars," 20,329 ",554310
Red Game Without A Great Name," 20,300 ",419500
The Last Express Gold Edition," 20,296 ",252710
Gateways," 20,286 ",216290
Constructor," 20,279 ",579020
Fields XY," 20,244 ",552900
TRI: Of Friendship and Madness," 20,234 ",293660
Bastard Bonds," 20,231 ",486720
Black Survival," 20,212 ",690510
Obscure II (Obscure: The Aftermath)," 20,179 ",254480
Abrix the robot," 20,166 ",461850
The last Baron's stunt (Anime)," 20,163 ",801900
VOI," 20,149 ",545690
Blackwell Epiphany," 20,146 ",236930
Showing Tonight: Mindhunters Incident," 20,130 ",416370
Clawface," 20,097 ",785130
Hide & Hold Out - H2o," 20,087 ",377140
Death's Hangover," 20,068 ",521920
Sweezy Gunner," 20,050 ",295730
Crashday Redline Edition," 20,050 ",508980
Ziggy's Chase," 20,004 ",533660
Death Stair," 19,986 ",444880
Oh No! Bugs!," 19,979 ",513980
Love Ribbon," 19,978 ",559610
SpellKnights," 19,950 ",444620
Vietnam â€˜65," 19,949 ",336080
Calvino Noir," 19,907 ",316890
Catch a Lover," 19,874 ",589320
Battle Chef Brigade," 19,817 ",452570
Armed with Wings: Rearmed," 19,799 ",340580
Buzz Aldrin's Space Program Manager," 19,789 ",308270
Drox Operative," 19,787 ",274480
Asteria," 19,739 ",307130
BloodLust Shadowhunter," 19,696 ",280600
NEO AQUARIUM - The King of Crustaceans -," 19,679 ",355240
Bang Bang Fruit 2," 19,662 ",703920
Everyday Genius: SquareLogic," 19,656 ",32150
Din's Curse," 19,651 ",217290
Making History: The Great War," 19,647 ",279140
Qora," 19,643 ",304460
Bad Rats Show," 19,637 ",393200
Gratuitous Space Battles 2," 19,612 ",344840
Caravan," 19,612 ",352890
Deathstate: Abyssal Edition," 19,603 ",402120
Highway to the Moon," 19,599 ",488330
Avadon 2: The Corruption," 19,579 ",233310
Ninja Reflex: Steamworks Edition," 19,566 ",13000
Desert Ashes," 19,533 ",324420
Infectonator 3: Apocalypse," 19,521 ",666570
1Quest," 19,502 ",332710
Ultionus: A Tale of Petty Revenge," 19,494 ",279160
Fallen ~Makina and the City of Ruins~," 19,491 ",791330
City of Fools," 19,479 ",359250
Mages of Mystralia," 19,474 ",529660
TO THE TOP," 19,434 ",509250
Lucidity," 19,433 ",32410
Save the Dodos," 19,424 ",428830
Tomb of Tyrants," 19,415 ",340360
EatWell," 19,404 ",678870
Story of a Cube," 19,402 ",440750
An Assassin in Orlandes," 19,395 ",335460
I Am The Hero," 19,395 ",498500
Sevgilim Olur musun ?," 19,363 ",713650
Season of 12 Colors," 19,363 ",370280
The Chosen Warriors," 19,360 ",610730
Onechanbara Z2: Chaos," 19,323 ",446390
Aerial Destruction," 19,319 ",592730
The Guest," 19,291 ",402040
Birthdays the Beginning / ãƒêãƒ_ã‚_ãƒ‡ã‚_ã‚ºãƒ»ã‚¶ãƒ»ãƒ“ã‚®ãƒ‹ãƒ_ã‚°," 19,287 ",525700
TSUKUMOHIME," 19,279 ",765650
EMERGENCY 20," 19,275 ",735280
Stayin' Alive," 19,272 ",584890
Gryphon Knight Epic," 19,267 ",358650
Defense Technica," 19,264 ",233110
Surgeon Simulator: Experience Reality," 19,264 ",518920
interLOGIC," 19,248 ",563150
Global Ops: Commando Libya," 19,246 ",200020
Tavern Tycoon - Dragon's Hangover," 19,243 ",439340
CHRONO TRIGGER," 19,214 ",613830
Metrico+," 19,193 ",373990
Flamebreak," 19,170 ",399640
Moonbase 332," 19,168 ",397580
Project Temporality," 19,161 ",290320
Particulars," 19,157 ",259470
Cast of the Seven Godsends - Redux," 19,151 ",373360
Earn to Die 2," 19,144 ",431590
Big Action Mega Fight!," 19,142 ",357120
GIGA WRECKER," 19,138 ",454410
Commander Cool 2," 19,124 ",356070
Optika," 19,116 ",504400
Street Fighter 30th Anniversary Collection," 19,108 ",586200
Gunjack," 19,101 ",410570
Earth Overclocked," 19,096 ",387060
Lords of the Black Sun," 19,077 ",246940
The Herbalist," 19,072 ",542260
Overfall," 19,052 ",402310
Through Abandoned 2. The Forest," 19,018 ",513340
Shotgun Farmers," 19,017 ",604240
Hyper Knights," 18,994 ",597150
Detective Case and Clown Bot in: Murder in the Hotel Lisbon," 18,966 ",297290
RockShot," 18,960 ",653120
The Youthdrainers," 18,953 ",393230
Driftland: The Magic Revival," 18,941 ",718650
Junk Jack," 18,930 ",414190
Seven: The Days Long Gone," 18,919 ",471010
Dead Sky," 18,918 ",259700
Sherlock Holmes and The Hound of The Baskervilles," 18,909 ",209230
TormentorâùŒPunisher," 18,908 ",500670
Industry Manager: Future Technologies," 18,891 ",384080
XBall Champion," 18,872 ",794570
Zolg," 18,858 ",555710
Solstice," 18,849 ",317280
Maximum Override," 18,823 ",389220
Fire," 18,812 ",325520
Dead Island Retro Revenge," 18,795 ",337360
Candle," 18,790 ",420060
Mad Combat Marines," 18,782 ",485370
Corrosion: Cold Winter Waiting [Enhanced Edition]," 18,778 ",349140
"Please, Don't Touch Anything 3D"," 18,767 ",529590
Mini-Dead," 18,761 ",851530
Rage Pig," 18,738 ",466480
TransPlan," 18,734 ",374410
Dead Man's Draw," 18,734 ",262450
Love at First Sight," 18,697 ",353330
Employee Recycling Center," 18,689 ",629030
Clock Simulator," 18,685 ",501120
Shio," 18,666 ",525360
Home Improvisation: Furniture Sandbox," 18,658 ",357670
Six Sides of the World," 18,651 ",384480
FRONTIERS," 18,647 ",293480
Gunhound EX," 18,641 ",273240
Lord of the Dark Castle," 18,637 ",349460
Vicky Saves the Big Dumb World," 18,612 ",404660
Monster Monpiece," 18,594 ",415300
Choice of the Deathless," 18,594 ",318310
Crimson Imprint plus -Nonexistent Christmas-," 18,594 ",740260
Valentino Rossi The Game," 18,552 ",438430
Stars in Shadow," 18,536 ",464880
BALLOON Saga," 18,486 ",644310
Super Steampunk Pinball 2D," 18,480 ",775490
Storm in a Teacup," 18,474 ",104020
Heroes Rise: The Hero Project," 18,474 ",304290
Police Tactics: Imperio," 18,471 ",378800
The Enchanted Cave 2," 18,451 ",368610
Karate Master 2 Knock Down Blow," 18,440 ",347670
Thief Town," 18,428 ",331220
Stay Alight," 18,427 ",345060
Airport Firefighters - The Simulation," 18,393 ",350530
Football Blitz," 18,387 ",516410
Paws: A Shelter 2 Game," 18,386 ",434000
Tokyo 42," 18,361 ",490450
Coming Out on Top," 18,348 ",642090
CityBattle | Virtual Earth," 18,342 ",611020
ECHO," 18,320 ",551770
Awe," 18,264 ",371450
Gravi," 18,258 ",247310
Criminal Girls: Invite Only / ã‚¯ãƒªãƒŸãƒ_ãƒ«ã‚¬ãƒ_ãƒ«ã‚º INVITATION," 18,248 ",409850
Siralim," 18,243 ",362090
The Last Tree," 18,238 ",605210
Mad Digger," 18,237 ",584100
I am Weapon: Revival," 18,226 ",335700
Super Chibi Knight," 18,210 ",283080
Vector Strain," 18,191 ",419090
Orange Moon," 18,173 ",432950
Khet 2.0," 18,173 ",312720
Cats are Liquid," 18,171 ",498330
Invisigun Heroes," 18,155 ",375750
In Exilium," 18,139 ",344880
Panzer Tactics HD," 18,131 ",277630
Japanese School Life," 18,127 ",555640
Delivery from the Pain," 18,115 ",685340
Curvatron," 18,105 ",404700
Tiny Barbarian DX," 18,091 ",253350
Atelier Firis: The Alchemist and the Mysterious Journey / ãƒ•ã‚£ãƒªã‚_ãÅ®ã‚¢ãƒˆãƒªã‚¨ ï__ä¸çæ€ùè_°ãÅªæ—…ãÅ®éŒ¬é‡‘è¡“å£«ï__," 18,077 ",527290
